rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count
61,ABS-CBN Entertainment,44200000,50292540392.0,People & Blogs,ABS-CBN Entertainment,193890,Philippines,PH,Entertainment,16.0,1.0,16.0,176629000.0,44200.0,706500.0,529900.0,8500000.0,300000.0,2008.0,Jul,16.0,259387.0,375350.0,15.0,1137.84,0.351,0.6787,macro,1137.84,12926.0,0.351,0.6787,29.5,176629000.0,2.13,99.5,Entertainment,78.1,92.6,63.5,False,False,False,False,True,1
62,Alan Walker,43700000,12884264778.0,Music,alanwalker,8,Thailand,TH,Film,4056116.0,4026.0,5270.0,22.0,0.01,0.09,0.07,1.0,,2006.0,May,12.0,1610533097.0,0.0,17.0,294.83,0.0,,macro,294.83,0.5,0.0,,,22.0,0.0,48.1,Film & Media,,57.0,,False,True,False,True,False,2
63,HolaSoyGerman.,43600000,4831311245.0,Entertainment,holasoygerman. 2,6,,,People,4047806.0,,7716.0,4.0,0.0,0.02,0.01,0.19,,2016.0,May,27.0,805218541.0,0.0,7.0,110.81,0.0,,macro,110.81,0.9,0.0,,,4.0,0.0,32.6,Lifestyle / People,,43.8,,False,True,False,True,False,2
64,Shakira,43500000,27568757295.0,People & Blogs,Shakira,326,Colombia,CO,Howto,52.0,1.0,3.0,353412000.0,88400.0,1400000.0,1100000.0,17000000.0,500000.0,2005.0,Oct,16.0,84566740.0,744200.0,18.0,633.76,1.282,1.1494,macro,633.76,18.1,1.282,1.1494,64.6,353412000.0,2.11,69.4,How-To & Style,54.6,83.9,73.4,False,False,False,False,False,0
65,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ Ã½Ã½ Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½,43200000,36458726976.0,Film & Animation,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ Ã½Ã½ Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½,1478,Russia,RU,Education,26.0,2.0,6.0,303780000.0,75900.0,1200000.0,911300.0,14600000.0,300000.0,2011.0,May,31.0,24667610.0,637950.0,12.0,843.95,0.833,0.6944,macro,843.95,123.2,0.833,0.6944,45.9,303780000.0,2.1,76.9,Education,64.5,88.9,73.6,False,False,False,False,False,0
66,ARY Digital HD,43200000,37939780685.0,Entertainment,ARY Digital HD,109871,Pakistan,PK,Entertainment,24.0,2.0,18.0,1149000000.0,287300.0,4600000.0,3400000.0,55200000.0,900000.0,2016.0,Jul,11.0,345312.0,2443650.0,7.0,878.24,3.028,2.0833,macro,878.24,15695.9,3.028,2.0833,84.7,1149000000.0,2.13,83.6,Entertainment,90.3,96.2,66.9,False,False,False,False,True,1
67,Speed Records,42500000,26820902622.0,Music,Speed Records,10938,India,IN,Music,62.0,19.0,26.0,159757000.0,39900.0,639000.0,479300.0,7700000.0,100000.0,2012.0,Nov,22.0,2452085.0,339450.0,11.0,631.08,0.596,0.2353,macro,631.08,994.4,0.596,0.2353,25.9,159757000.0,2.12,87.8,Music,67.8,89.2,54.3,False,False,False,False,False,0
68,Masha and The Bear,42400000,24519022988.0,Shows,Masha and The Bear,1218,United States,US,Film,74.0,20.0,5.0,670459000.0,167600.0,2700000.0,2000000.0,32200000.0,1000000.0,2014.0,Sep,17.0,20130561.0,1433800.0,9.0,578.28,2.734,2.3585,macro,578.28,135.3,2.734,2.3585,85.2,670459000.0,2.14,71.9,Film & Media,69.9,88.5,72.6,False,False,False,False,False,0
69,Like Nastya Show,42400000,19547696190.0,Entertainment,Like Nastya Show,618,United States,US,Entertainment,128.0,21.0,19.0,53202000.0,13300.0,212800.0,159600.0,2600000.0,,2017.0,Nov,14.0,31630576.0,113050.0,6.0,461.03,0.272,,macro,461.03,103.0,0.272,,,53202000.0,2.12,47.8,Entertainment,,74.8,,False,False,False,False,False,0
70,Rihanna,41900000,22477745835.0,Entertainment,Rihanna,84,Barbados,BB,Music,98.0,1.0,27.0,182926000.0,45700.0,731700.0,548800.0,8800000.0,100000.0,2005.0,Nov,6.0,267592212.0,388700.0,18.0,536.46,0.814,0.2387,macro,536.46,4.7,0.814,0.2387,33.2,182926000.0,2.12,65.1,Music,35.4,77.7,58.2,False,False,False,False,False,0
71,Ishtar Music,41400000,17608931161.0,Trailers,Ishtar Music,4510,India,IN,Music,155.0,20.0,28.0,180942000.0,45200.0,723800.0,542800.0,8700000.0,400000.0,2005.0,Sep,22.0,3904419.0,384500.0,18.0,425.34,1.028,0.9662,macro,425.34,250.6,1.028,0.9662,57.5,180942000.0,2.12,88.8,Music,65.8,85.7,56.8,False,False,False,False,False,0
72,Kimberly Loaiza,41300000,5603111948.0,People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,1157.0,2.0,1.0,136745000.0,34200.0,547000.0,410200.0,6600000.0,400000.0,2016.0,Nov,16.0,19254680.0,290600.0,7.0,135.67,2.441,0.9685,macro,135.67,41.6,2.441,0.9685,74.0,136745000.0,2.13,58.1,Lifestyle / People,36.7,61.7,39.3,False,False,False,False,False,0
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833.0,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,2423,United States,US,Education,22.0,22.0,7.0,98775000.0,24700.0,395100.0,296300.0,4700000.0,100000.0,2011.0,Jun,22.0,16281810.0,209900.0,12.0,964.57,0.25,0.2445,macro,964.57,201.9,0.25,0.2445,15.8,98775000.0,2.13,81.0,Education,63.2,85.1,68.7,False,False,False,False,False,0
74,Luisito Comunica,40600000,8670473639.0,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215.0,3021.0,,,0.0,0.0,0.0,0.0,,2010.0,Jun,18.0,,0.0,13.0,213.56,,,macro,213.56,0.0,,,,,,26.7,Comedy,,,,True,True,False,True,False,3
75,elrubiusOMG,40400000,7410536668.0,Gaming,elrubiusOMG,703,,,Entertainment,756.0,,21.0,5773000.0,1400.0,23100.0,17300.0,277100.0,,2011.0,Dec,20.0,10541304.0,12250.0,12.0,183.43,0.078,,macro,183.43,58.6,0.078,,,5773000.0,2.12,55.1,Entertainment,,57.1,,False,False,False,False,False,0
76,Toys and Colors,40300000,47005053156.0,Entertainment,Toys and colors,4,,,People,3989650.0,,7330.0,5.0,0.0,0.02,0.02,0.24,,2018.0,Jun,14.0,11751263289.0,0.0,5.0,1166.38,0.0,,macro,1166.38,0.8,0.0,,,5.0,0.0,28.5,Lifestyle / People,,63.8,,False,True,False,True,False,2
77,shfa2 - Ã¯Â¿Â½Ã¯Â¿Â½,39700000,23884824160.0,People & Blogs,shfa2 - Ã¯Â¿Â½Ã¯Â¿Â½,1596,United Arab Emirates,AE,People,81.0,1.0,2.0,247731000.0,61900.0,990900.0,743200.0,11900000.0,300000.0,2017.0,Nov,6.0,14965429.0,526400.0,6.0,601.63,1.037,0.7557,macro,601.63,266.0,1.037,0.7557,53.7,247731000.0,2.12,71.3,Lifestyle / People,63.9,86.5,65.1,False,False,False,False,False,0
78,LUCCAS NETO - LUCCAS TOON,39400000,22302547082.0,People & Blogs,LUCCAS NETO- LUCCAS TOON,1,,,Games,4057895.0,,7498.0,2.0,0.0,0.01,0.01,0.1,,2021.0,Mar,25.0,22302547082.0,0.0,2.0,566.05,0.0,,macro,566.05,0.5,0.0,,,2.0,0.0,22.1,Gaming,,60.4,,False,True,False,True,False,2
79,CarryMinati,39200000,3294013141.0,Comedy,CarryMinati,186,India,IN,Comedy,2487.0,21.0,2.0,78688000.0,19700.0,314800.0,236100.0,3800000.0,700000.0,2014.0,Oct,30.0,17709748.0,167250.0,9.0,84.03,2.389,1.7857,macro,84.03,20.7,2.389,1.7857,80.7,78688000.0,2.13,58.1,Comedy,34.4,51.8,40.4,False,False,False,False,False,0
80,XXXTENTACION,39200000,10507474316.0,Music,XXXTENTACION,133,United States,US,Music,403.0,24.0,29.0,58362000.0,14600.0,233400.0,175100.0,2800000.0,100000.0,2015.0,Jun,23.0,79003566.0,124000.0,8.0,268.05,0.555,0.2551,macro,268.05,16.6,0.555,0.2551,24.7,58362000.0,2.12,55.1,Music,21.9,64.4,38.5,False,False,False,False,False,0
81,Super Simple Songs - Kids Songs,39200000,44900897958.0,Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19.0,2.0,8.0,560756000.0,140200.0,2200000.0,1700000.0,26900000.0,400000.0,2006.0,Sep,8.0,60350669.0,1170100.0,17.0,1145.43,1.249,1.0204,macro,1145.43,43.8,1.249,1.0204,62.7,560756000.0,2.09,74.6,Education,65.5,88.1,81.3,False,False,False,False,False,0
82,Mikecrack,39100000,16118181673.0,Gaming,Mikecrack,1876,Spain,ES,Games,188.0,1.0,4.0,264108000.0,66000.0,1100000.0,792300.0,12700000.0,800000.0,2015.0,Jul,13.0,8591781.0,583000.0,8.0,412.23,1.639,2.046,macro,412.23,234.5,1.639,2.046,76.4,264108000.0,2.21,74.3,Gaming,66.1,84.0,60.7,False,False,False,False,False,0
83,WorkpointOfficial,39000000,36131228583.0,Entertainment,WorkpointOfficial,72580,Thailand,TH,Entertainment,27.0,1.0,24.0,130461000.0,32600.0,521800.0,391400.0,6300000.0,200000.0,2012.0,Nov,5.0,497812.0,277200.0,11.0,926.44,0.361,0.5128,macro,926.44,6598.2,0.361,0.5128,23.4,130461000.0,2.12,90.5,Entertainment,73.7,89.5,58.2,False,False,False,False,True,1
84,GR6 EXPLODE,38900000,25154232306.0,Music,GR6 EXPLODE,3043,Brazil,BR,Music,73.0,6.0,30.0,1635000000.0,408700.0,6500000.0,4900000.0,78500000.0,100000.0,2014.0,Aug,5.0,8266261.0,3454350.0,9.0,646.64,6.5,0.2571,macro,646.64,338.1,6.5,0.2571,62.8,1635000000.0,2.11,79.1,Music,73.3,91.2,58.7,False,False,False,False,False,0
85,TEDx Talks,38600000,7339333120.0,Nonprofits & Activism,TEDx Talks,200933,United States,US,Nonprofit,768.0,25.0,1.0,45638000.0,11400.0,182600.0,136900.0,2200000.0,100000.0,2009.0,Jun,23.0,36526.0,97000.0,14.0,190.14,0.622,0.2591,macro,190.14,14352.4,0.622,0.2591,27.4,45638000.0,2.13,97.6,Nonprofit,57.1,69.3,28.2,False,False,False,False,True,1
86,shfa,38400000,21528116909.0,People & Blogs,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ Ã½Ã½Ã½Ã½Ã½Ã½,982,Saudi Arabia,SA,Games,150882.0,774.0,1454.0,1589000.0,397.0,6400.0,4800.0,76300.0,2000.0,2018.0,May,24.0,21922726.0,3398.0,5.0,560.63,0.007,0.0052,macro,560.63,196.4,0.007,0.0052,9.0,1589000.0,2.14,66.7,Gaming,48.6,69.8,54.5,False,False,False,False,False,0
87,Goldmines Gaane Sune Ansune,38300000,16718192386.0,Music,Goldmines Gaane Sune Ansune,3532,India,IN,Music,170.0,22.0,31.0,814756000.0,203700.0,3300000.0,2400000.0,39100000.0,400000.0,2015.0,Aug,24.0,4733350.0,1751850.0,8.0,436.51,4.873,1.0444,macro,436.51,441.5,4.873,1.0444,81.6,814756000.0,2.15,78.7,Music,73.0,88.1,56.4,False,False,False,False,False,0
88,One Direction,38200000,13598903820.0,Music,21 Savage,11,United States,US,Music,539848.0,2904.0,2594.0,6348.0,2.0,25.0,19.0,305.0,100.0,2016.0,Jun,26.0,1236263984.0,14.0,7.0,355.99,0.0,0.0003,macro,355.99,1.6,0.0,0.0003,5.4,6348.0,2.21,48.0,Music,17.6,57.6,42.5,False,True,False,False,False,1
89,TheEllenShow,38200000,22756581750.0,Entertainment,TheEllenShow,15672,United States,US,Entertainment,93.0,26.0,26.0,21804000.0,5500.0,87200.0,65400.0,1000000.0,,2006.0,Nov,21.0,1452053.0,46350.0,17.0,595.72,0.096,,macro,595.72,921.9,0.096,,,21804000.0,2.13,80.6,Entertainment,,78.2,,False,False,False,False,False,0
90,Sony PAL,38200000,28519339489.0,Shows,Sony PAL,24089,India,IN,Entertainment,49.0,23.0,25.0,415914000.0,104000.0,1700000.0,1200000.0,20000000.0,500000.0,2014.0,May,9.0,1183915.0,902000.0,9.0,746.58,1.458,1.3089,macro,746.58,2676.6,1.458,1.3089,69.2,415914000.0,2.17,85.7,Entertainment,83.9,92.7,65.0,False,False,False,False,False,0
91,Daddy Yankee,38000000,22731415608.0,Music,Daddy Yankee,505,United States,US,Music,92.0,27.0,33.0,205594000.0,51400.0,822400.0,616800.0,9900000.0,100000.0,2011.0,May,16.0,45012704.0,436900.0,12.0,598.2,0.904,0.2632,macro,598.2,42.1,0.904,0.2632,36.0,205594000.0,2.13,68.3,Music,46.7,81.1,59.7,False,False,False,False,False,0
92,Vlad vÃ¯Â¿Â½Ã¯Â¿Â½Ã¯,37900000,23510152352.0,,Vlad vÃ¯Â¿Â½Ã¯Â¿Â½Ã¯,515,United States,US,Entertainment,84.0,28.0,27.0,244093000.0,61000.0,976400.0,732300.0,11700000.0,200000.0,2018.0,Jul,20.0,45650781.0,518700.0,5.0,620.32,1.038,0.5277,macro,620.32,103.0,1.038,0.5277,44.5,244093000.0,2.13,60.8,Entertainment,49.4,82.1,59.4,False,False,False,False,False,0
93,Like Nastya ESP,37600000,18208196857.0,Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145.0,29.0,28.0,321026000.0,80300.0,1300000.0,963100.0,15400000.0,700000.0,2017.0,Apr,22.0,24506321.0,690150.0,6.0,484.26,1.763,1.8617,macro,484.26,123.8,1.763,1.8617,76.9,321026000.0,2.15,65.0,Entertainment,60.2,82.4,64.9,False,False,False,False,False,0
94,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ one31,37500000,27262462114.0,Entertainment,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ one31,117152,Thailand,TH,Entertainment,56.0,2.0,29.0,140754000.0,35200.0,563000.0,422300.0,6800000.0,300000.0,2013.0,Jan,10.0,232710.0,299100.0,10.0,727.0,0.516,0.8,macro,727.0,11715.2,0.516,0.8,40.2,140754000.0,2.12,89.4,Entertainment,76.0,89.0,60.1,False,False,False,False,True,1
95,Jkk Entertainment,37200000,16402066717.0,Comedy,Jkk Entertainment,220,India,IN,Comedy,178.0,24.0,3.0,49861000.0,12500.0,199400.0,149600.0,2400000.0,100000.0,2017.0,Mar,20.0,74554849.0,105950.0,6.0,440.92,0.304,0.2688,macro,440.92,36.7,0.304,0.2688,17.4,49861000.0,2.12,55.4,Comedy,30.7,69.3,47.9,False,False,False,False,False,0
96,ABP NEWS,37000000,13102611515.0,People & Blogs,ABP NEWS,301308,India,IN,News,280.0,25.0,2.0,267060000.0,66800.0,1100000.0,801200.0,12800000.0,400000.0,2012.0,Jun,1.0,43486.0,583400.0,11.0,354.12,2.038,1.0811,macro,354.12,27391.6,2.038,1.0811,73.0,267060000.0,2.18,92.0,News & Current Affairs,76.2,85.5,45.6,False,False,False,False,True,1
97,Maria Clara & JP,37000000,24188861917.0,People & Blogs,Maria Clara & JP,744,Brazil,BR,Entertainment,75.0,7.0,30.0,251449000.0,62900.0,1000000.0,754300.0,12100000.0,300000.0,2015.0,Sep,6.0,32511911.0,531450.0,8.0,653.75,1.04,0.8108,macro,653.75,93.0,1.04,0.8108,56.2,251449000.0,2.11,65.5,Entertainment,56.9,83.6,68.3,False,False,False,False,False,0
98,Bruno Mars,36700000,19378155425.0,Music,Bruno Mars,99,United States,US,Music,134.0,30.0,34.0,175243000.0,43800.0,701000.0,525700.0,8400000.0,200000.0,2006.0,Sep,19.0,195738944.0,372400.0,17.0,528.02,0.904,0.545,macro,528.02,5.8,0.904,0.545,42.0,175243000.0,2.13,65.3,Music,38.2,75.5,61.0,False,False,False,False,False,0
99,Maroon 5,36600000,22553923546.0,Music,Maroon 5,171,United States,US,Music,96.0,31.0,35.0,152825000.0,38200.0,611300.0,458500.0,7300000.0,,2006.0,Mar,9.0,131894290.0,324750.0,17.0,616.23,0.678,,macro,616.23,10.1,0.678,,,152825000.0,2.12,51.8,Music,,76.6,,False,False,False,False,False,0
100,Ultra Bollywood,36600000,15653786446.0,Trailers,Ultra Bollywood,9168,India,IN,Entertainment,205.0,26.0,31.0,131462000.0,0.0,0.0,0.0,0.0,200000.0,2009.0,Oct,21.0,1707437.0,0.0,14.0,427.7,0.84,0.5464,macro,427.7,654.9,0.84,0.5464,40.3,131462000.0,0.0,92.5,Entertainment,64.7,82.9,47.1,False,False,False,True,False,1
